Name,Category,Workload,CoursePreferences
prof1,X3,1.5,"CS F202,CS H302,CS F302,CS H201,CS H101,CS F202,CS F304,HSS H401,CS F203,CS F303,CS F101,CS H102"
prof2,X1,0.5,"HSS H402,HSS F404,CS H301,CS F102,CS F301,HSS F402,CS H202,CS F103,CS F302,CS H102,CS F204,HSS H401"
prof3,X1,0.5,"HSS F402,HSS H402,CS F101,HSS F404,CS F203,CS H202,CS F303,CS F102,CS F103,CS H201,CS F204,CS F301"
prof4,X2,1.0,"CS F102,CS F101,HSS F401,CS F202,CS F104,CS H102,CS H302,CS F204,CS F304,CS H201,CS F302,HSS F404"
prof5,X2,1.0,"CS F104,HSS F401,CS F204,CS F203,CS H302,CS F302,CS H102,HSS H401,CS F104,CS F304,CS F202,CS F102"
prof6,X1,0.5,"HSS F401,CS F201,CS H101,CS H302,CS F204,HSS H401,HSS H402,CS H301,HSS F403,CS F302,CS F304,HSS F404"
prof7,X1,0.5,"CS F301,HSS F403,CS F304,CS F302,CS H102,CS F104,CS F303,CS F204,CS F202,CS H301,CS H101,CS F201"
prof8,X2,1.0,"CS F101,HSS F402,CS F304,HSS H401,CS F301,CS F104,CS F204,HSS H402,HSS F403,CS H201,CS H301,CS H101"
prof9,X2,1.0,"CS H201,CS F102,CS F203,CS F204,HSS F404,CS F103,CS F301,CS F202,CS F101,CS H102,CS H101,CS F104"
prof10,X2,1.0,"HSS F403,HSS H401,CS H202,HSS F404,CS F303,HSS F401,CS F201,CS H102,CS H301,CS F104,CS F204,CS F102"
prof11,X3,1.5,"CS F203,CS H102,CS F301,CS H101,CS F303,CS H301,HSS H401,CS H201,HSS F404,CS F103,HSS F401,CS F204"
prof12,X2,1.0,"CS F103,HSS F402,HSS H402,CS F201,CS F301,CS F104,HSS F404,CS F102,CS H101,CS H202,CS H301,CS H302"
prof13,X3,1.5,"CS F304,CS F303,HSS F403,HSS H402,CS F203,CS F201,HSS F401,CS F104,CS F102,CS F301,CS F204,CS F202"
prof14,X1,0.5,"CS F101,CS H302,CS F202,HSS F401,CS F301,CS F201,CS F102,HSS H401,CS F203,CS F302,HSS F402,CS H201"
prof15,X2,1.0,"CS H302,HSS H402,CS F204,CS H101,CS H202,CS F203,CS F304,CS H302,HSS F402,CS F301,HSS F404,CS H102"
prof16,X3,1.5,"CS H101,CS H202,HSS F403,CS F301,CS F303,HSS F404,CS F204,HSS H401,CS H201,CS F203,CS F202,CS F302"
prof17,X3,1.5,"CS F101,CS H202,HSS H402,HSS F401,CS F302,CS H101,HSS F404,CS H102,CS F304,CS F303,CS F201,CS F202"
prof18,X1,0.5,"CS H202,CS H101,CS F101,CS H301,CS F301,CS H302,CS F104,CS F204,CS F201,CS H201,HSS H402,HSS F404"
prof19,X1,0.5,"CS F301,CS F302,HSS F403,HSS F404,CS F201,CS F103,CS H302,CS F202,CS F204,CS F104,HSS H402,CS H102"
prof20,X3,1.5,"CS H202,CS F203,CS F103,CS F102,HSS F401,CS F302,CS F301,HSS H401,CS F303,CS F101,CS H302,HSS H402"
prof21,X3,1.5,"CS F204,CS F304,HSS F402,CS F104,CS H101,CS F201,CS F303,CS H202,CS F101,CS F202,CS F103,HSS H402"
prof22,X2,1.0,"HSS H401,CS H301,HSS F403,CS F203,HSS F404,CS H102,CS F101,CS H302,HSS H402,CS F204,CS F202,CS H101"
prof23,X1,0.5,"HSS F401,CS F202,CS H102,CS F104,CS F103,CS H201,CS H101,CS F303,HSS F404,CS F304,CS F201,CS F301"
prof24,X2,1.0,"CS F302,CS H201,HSS H401,HSS F402,CS F301,CS F201,CS F304,CS F302,CS F203,CS H202,CS F202,CS F303"
prof25,X3,1.5,"CS H101,HSS H401,CS H301,CS F104,CS F201,CS H102,CS F203,CS F101,HSS H402,CS F202,HSS F402,CS F103"
prof26,X2,1.0,"CS F102,CS F203,CS H301,CS F201,HSS F401,HSS F404,CS H101,CS F101,CS F204,HSS H401,CS H302,HSS H402"
prof27,X1,0.5,"CS H201,CS F203,HSS F402,CS H101,CS F103,CS H202,HSS F403,HSS H402,CS H102,CS F102,CS H301,CS F301"
prof28,X2,1.0,"CS F204,HSS F403,CS F303,HSS F401,HSS F402,CS F202,HSS H402,CS F301,CS F102,CS H202,HSS F404,CS F104"
prof29,X2,1.0,"CS H202,CS F101,CS H301,CS F103,CS F104,CS F301,CS H302,CS F304,CS H201,HSS H402,CS F303,HSS F404"
prof30,X2,1.0,"CS F201,CS F304,CS H102,CS F301,CS F101,HSS H402,HSS H401,CS H101,CS F104,CS F103,HSS F402,CS H202"
